id,num_orders
1028232,197.0
1127204,197.0
1212707,194.0
1082698,95.0
1400926,92.0
1284113,223.0
1197966,226.0
1132739,203.0
1057981,130.0
1095932,127.0
1454421,122.0
1149765,214.0
1166964,233.0
1010949,221.0
1409575,110.0
1181616,51.0
1456020,239.0
1264395,180.0
1472931,214.0
1412015,141.0
1461229,158.0
1014564,196.0
1485914,142.0
1345389,132.0
1006833,133.0
1174921,24.0
1175393,24.0
1152412,55.0
1497398,60.0
1363486,42.0
1366766,51.0
1192413,51.0
1319547,260.0
1337684,273.0
1479766,200.0
1460444,741.0
1139730,413.0
1115056,401.0
1335827,40.0
1385333,368.0
1096323,363.0
1230693,619.0
1027016,132.0
1181520,131.0
1306234,138.0
1271440,580.0
1269834,306.0
1176823,475.0
1193098,81.0
1034878,73.0
1010243,90.0
1451807,90.0
1016845,92.0
1198021,136.0
1413802,54.0
1231223,55.0
1274226,369.0
1425142,396.0
1211593,323.0
1419190,41.0
1180223,37.0
1194932,206.0
1323477,134.0
1371595,185.0
1171521,224.0
1052384,225.0
1060921,232.0
1261811,183.0
1246502,213.0
1497466,178.0
1232717,34.0
1136112,28.0
1196334,825.0
1349533,139.0
1463406,137.0
1447686,93.0
1336105,98.0
1012855,343.0
1180646,343.0
1062490,286.0
1098228,438.0
1101375,455.0
1400016,450.0
1439889,42.0
1408468,111.0
1044490,112.0
1290002,404.0
1190633,371.0
1040430,707.0
1049366,132.0
1224120,111.0
1293810,134.0
1197335,671.0
1323989,346.0
1129467,626.0
1229328,69.0
1164395,65.0
1217722,90.0
1171266,101.0
1024905,138.0
1343027,107.0
1141892,57.0
1302404,58.0
1170447,369.0
1140772,368.0
1103484,329.0
1387134,30.0
1117711,33.0
1472121,32.0
1289523,237.0
1091114,318.0
1043572,230.0
1103283,264.0
1265051,265.0
1168741,260.0
1052776,168.0
1206564,170.0
1302153,165.0
1083754,32.0
1097952,32.0
1251605,29.0
1333032,716.0
1086936,175.0
1088412,177.0
1236400,62.0
1244516,83.0
1380381,87.0
1495062,360.0
1439647,387.0
1019214,314.0
1316160,810.0
1022008,738.0
1138248,720.0
1052922,73.0
1181474,101.0
1046475,109.0
1216688,535.0
1067565,534.0
1008328,498.0
1430287,273.0
1406716,202.0
1105380,254.0
1248694,630.0
1252163,360.0
1443474,696.0
1033716,86.0
1300295,86.0
1311882,86.0
1257968,144.0
1226362,144.0
1030655,145.0
1210527,103.0
1278927,86.0
1232239,71.0
1133067,544.0
1382522,544.0
1219136,518.0
1498130,50.0
1251629,52.0
1032092,46.0
1249865,214.0
1207630,218.0
1144733,229.0
1436768,54.0
1148964,50.0
1237346,963.0
1206015,256.0
1105113,256.0
1430481,63.0
1001589,108.0
1224132,129.0
1074380,436.0
1097109,392.0
1211246,373.0
1390579,261.0
1473058,252.0
1186964,254.0
1222837,50.0
1342393,82.0
1170472,294.0
1170791,295.0
1046653,387.0
1195179,94.0
1332509,95.0
1438300,107.0
1435748,349.0
1052668,225.0
1227060,352.0
1342252,75.0
1143109,79.0
1394807,79.0
1448374,94.0
1028680,100.0
1079691,99.0
1402079,54.0
1424446,76.0
1133297,344.0
1076214,518.0
1173823,454.0
1488584,30.0
1072892,29.0
1277491,31.0
1290868,207.0
1048888,200.0
1138141,212.0
1473125,24.0
1196726,22.0
1179278,25.0
1282305,348.0
1359903,115.0
1355143,115.0
1095889,48.0
1250665,50.0
1426610,55.0
1390104,421.0
1051519,416.0
1337584,370.0
1332667,1426.0
1075942,1291.0
1109804,933.0
1316684,124.0
1248315,206.0
1113611,211.0
1110867,913.0
1247289,915.0
1022953,1404.0
1160081,176.0
1120430,192.0
1487280,194.0
1020081,1384.0
1329551,752.0
1137610,1268.0
1072530,194.0
1115708,193.0
1203532,194.0
1494216,376.0
1116374,231.0
1032497,229.0
1413930,192.0
1136118,154.0
1254872,150.0
1398257,663.0
1364001,623.0
1369843,562.0
1379360,79.0
1442044,79.0
1285290,67.0
1129707,349.0
1086750,505.0
1147262,378.0
1025605,272.0
1414158,315.0
1082079,319.0
1467510,355.0
1374892,327.0
1171352,325.0
1213246,71.0
1279131,69.0
1256386,162.0
1234220,1512.0
1008206,475.0
1267686,461.0
1470186,129.0
1233312,191.0
1279379,171.0
1431703,601.0
1339938,493.0
1010552,449.0
1237947,737.0
1175098,753.0
1066074,401.0
1045918,86.0
1226081,89.0
1148633,361.0
1441429,352.0
1291804,553.0
1305194,125.0
1327840,144.0
1320801,132.0
1467101,506.0
1473989,324.0
1466330,502.0
1390856,94.0
1120639,94.0
1279275,90.0
1166120,128.0
1128404,53.0
1252491,56.0
1328056,419.0
1452353,341.0
1353276,315.0
1297182,40.0
1469299,37.0
1129687,200.0
1362599,217.0
1245170,353.0
1098570,224.0
1452600,205.0
1194207,224.0
1023619,213.0
1254600,182.0
1157094,213.0
1165391,30.0
